Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Afghanistan,33.93911,67.709953,52513,2201,41727,8585,134.8965783,4.191343096
Albania,41.1533,20.1683,58316,1181,33634,23501,2026.409062,2.025173194
Algeria,28.0339,1.6596,99897,2762,67395,29740,227.8098608,2.764847793
Andorra,42.5063,1.5218,8117,84,7463,570,10505.40348,1.034865098
Angola,-11.2027,17.8739,17568,405,11146,6017,53.45298103,2.305327869
Antigua and Barbuda,17.0608,-61.7964,159,5,148,6,162.3641859,3.144654088
Argentina,-38.4161,-63.6167,1629594,43319,1426676,159599,3605.633332,2.658269483
Armenia,40.0691,45.0382,159738,2828,143355,13555,5390.664389,1.770399028
Australia,-35.4735,149.0124,118,3,114,1,27.56365335,2.542372881
Australia,-33.8688,151.2093,4947,54,0,4893,60.93865484,1.091570649
Australia,-12.4634,130.8456,75,0,71,4,30.53745928,0
Australia,-27.4698,153.0251,1255,6,1224,25,24.5332812,0.478087649
Australia,-34.9285,138.6007,580,,566,10,33.02021065,0.689655172
Australia,-42.8821,147.3272,234,13,221,0,43.69747899,5.555555556
Australia,-37.8136,144.9631,,820,19539,29,307.5159505,4.02197371
Australia,-31.9505,115.8605,863,9,838,16,32.80620391,1.042873696
Austria,47.5162,14.5501,358774,7564,334901,21749,4029.479037,1.725216375
Azerbaijan,40.1431,47.5769,219041,2670,188280,28091,2160.34342,1.218949877
Bahamas,25.025885,-78.035889,7887,171,6239,1477,2005.604606,2.168124762
Bahrain,26.0275,50.55,92913,352,90369,2192,5460.386005,0.378849031
Bangladesh,23.685,90.3563,514500,7576,458656,48268,312.4062952,1.47249757
Barbados,13.1939,-59.5432,395,7,319,69,137.4529789,1.772151899
Belarus,53.7098,27.9534,196223,1433,178102,16688,2076.583069,0.730291556
Belgium,51.2195,4.4024,79680,0,0,79680,4261.577875,0
Belgium,50.8503,4.3517,81557,0,0,81557,6694.575438,0
Belgium,51.0362,3.7373,65260,0,0,65260,4278.628819,0
Belgium,50.9167,4.5833,49270,0,0,49270,4262.689656,0
Belgium,50.5257,4.0621,102209,0,0,102209,7588.800451,0
Belgium,50.4496,5.8492,97027,0,0,97027,8742.746441,0
Belgium,50.9739,5.342,29349,0,0,29349,3345.110957,0
Belgium,50.0547,5.4677,18416,0,0,18416,6422.2743,0
Belgium,50.331,4.8221,35462,0,0,35462,7152.019232,0
Belgium,,,10701,19581,0,0,,182.9828988
Belgium,50.4,4.35,25144,0,0,25144,6192.813637,0
Belgium,51.0536,3.1458,54214,0,0,54214,4514.278339,0
Belize,17.1899,-88.4976,10776,248,9795,733,2710.118429,2.301410542
Benin,9.3077,2.3158,3251,44,3061,146,26.81635654,1.353429714
Bhutan,27.5142,90.4336,689,0,449,240,89.29358279,0
Bolivia,-16.2902,-63.5887,160985,9175,132510,19300,1379.119336,5.699288754
Bosnia and Herzegovina,43.9159,17.6791,112143,4086,77682,30375,3418.144577,3.643562238
Botswana,-22.3285,24.6849,14805,42,12136,2627,629.5646627,0.283687943
Brazil,-9.0238,-70.812,41689,796,33670,7223,4726.992352,1.909376574
Brazil,-9.5713,-36.782,105091,2496,99710,2885,3148.928928,2.375084451
Brazil,0.902,-52.003,68361,926,52670,14765,8083.066602,1.354573514
Brazil,-3.4168,-65.8561,201574,5295,170178,26101,4863.536793,2.626826873
Brazil,-12.5797,-41.7007,494684,9159,478198,7327,3326.039611,1.851484988
Brazil,-5.4984,-39.3206,336504,10004,269846,56153,3679.250221,2.974177957
Brazil,-15.7998,-47.8645,252077,4263,241952,5862,8360.01974,1.691149926
Brazil,-19.1834,-40.3089,249271,5093,227931,16242,6202.580469,2.040840889
Brazil,-15.827,-49.8362,309191,6805,298401,3906,4404.337541,2.201467429
Brazil,-4.9609,-45.2744,200959,4506,190884,5569,2840.33723,2.242248419
Brazil,-12.6819,-56.9211,180659,4530,170171,5066,5157.289524,2.485754352
Brazil,-20.7722,-54.7852,135361,2360,117816,14587,4848.890926,1.74174397
Brazil,-18.5122,-44.555,546884,12001,494278,40605,2583.444657,2.194432457
Brazil,-1.9981,-54.9306,293807,7209,275483,11120,3415.164599,2.450289651
Brazil,-7.24,-36.782,167062,3680,127030,36352,4157.708305,2.202775018
Brazil,-25.2521,-52.0215,418323,7993,305194,105136,3658.602179,1.910724488
Brazil,-8.8137,-36.9541,222993,9666,189850,23477,2333.277633,4.334665214
Brazil,-7.7183,-42.7289,143210,2848,139971,368,4374.245966,1.983531104
Brazil,-5.4026,-36.9541,119338,3009,68394,46966,3374.906219,2.528875483
Brazil,-30.0346,-51.2177,451912,8917,424406,18589,3972.070904,1.973171768
Brazil,-22.9068,-43.1729,435390,25600,397324,12466,2521.81545,5.879785939
Brazil,-11.5057,-63.5806,95999,1822,81122,13055,5401.623317,1.897936437
Brazil,-2.7376,-62.0751,68858,787,65405,2518,11342.75729,1.145393684
Brazil,-27.2423,-50.2189,494447,5270,467020,22157,6901.069508,1.065837188
Brazil,-23.5505,-46.6333,1466191,46775,1287986,131430,3192.990778,3.190239198
Brazil,-10.5741,-37.3857,113544,2492,99824,11228,4939.496132,2.194743888
Brazil,-10.1753,-48.2982,90592,1239,80658,8642,5756.116541,1.365202792
Brunei,4.5353,114.7277,157,3,149,5,35.88710876,1.910828025
Bulgaria,42.7339,25.4858,202540,7604,120343,74593,2914.896786,3.754320134
Burkina Faso,12.2383,-1.5616,6828,85,5152,1591,32.66473325,1.244874048
Burma,21.9162,95.956,125042,2697,107777,14568,229.8152425,2.15687529
Burundi,-3.3731,29.9189,822,2,687,133,6.912918504,0.243309002
Cabo Verde,16.5388,-23.0418,11872,113,11569,190,2135.297884,0.951819407
Cambodia,11.55,104.9167,379,0,362,17,2.266885923,0
Cameroon,3.848,11.5021,26848,448,24892,1508,101.138166,1.668653159
Canada,53.9333,-116.5765,100428,1046,84827,14555,2260.426179,1.041542199
Canada,53.7267,-127.6476,51990,901,42127,8962,996.9692059,1.733025582
Canada,,,0,1,0,0,,
Canada,,,13,0,13,0,,0
Canada,53.7609,-98.8139,24700,667,19528,4505,1784.985167,2.700404858
Canada,46.5653,-66.4619,601,9,567,25,76.15065412,1.49750416
Canada,53.1355,-57.6604,390,4,366,20,74.92032512,1.025641026
Canada,64.8255,-124.8457,24,0,24,0,52.74261603,0
Canada,44.682,-63.7443,1497,65,1399,22,149.7900822,4.374158816
Canada,70.2998,-83.1076,266,1,262,3,675.0755019,0.37593985
Canada,51.2538,-85.3232,192482,4581,162622,20154,1263.594445,2.438295328
Canada,46.5107,-63.4168,94,0,89,5,57.20614905,0
Canada,52.9399,-73.5491,208390,8388,170045,29957,2421.873683,4.025145161
Canada,,,13,0,13,0,,0
Canada,52.9399,-106.4509,15634,155,12496,2699,1301.019457,1.009771987
Canada,64.2823,-135,60,1,59,0,139.5803285,1.666666667
Central African Republic,6.6111,20.9394,4963,63,1924,2976,102.7586441,1.269393512
Chad,15.4542,18.7322,2141,104,1704,333,13.03432594,4.857543204
Chile,-23.6509,-70.3975,,585,22670,632,3931.79641,2.449030854
Chile,-38.9489,-72.3311,23161,311,21736,1114,2419.600846,1.342774492
Chile,-18.594,-69.4785,10859,225,10408,226,4803.421979,2.072013998
Chile,-27.5661,-70.0503,8520,113,8328,79,2948.668254,1.32629108
Chile,-45.9864,-73.7669,1588,15,1436,137,1539.386184,0.944584383
Chile,-37.4464,-72.1416,47898,802,44427,2669,3076.685905,1.674391415
Chile,-29.959,-71.3389,14308,299,13731,278,1888.630466,2.089740006
Chile,-41.9198,-72.1416,26170,263,24352,1555,3157.927762,1.00496752
Chile,-40.231,-72.3311,9004,93,8239,672,2339.69187,1.032874278
Chile,-52.368,-70.9863,17010,233,16264,513,10214.19178,1.369782481
Chile,-35.5183,-71.6885,25783,556,23574,1653,2467.390784,2.156459683
Chile,-33.4376,-70.6505,319937,10813,304802,4322,4498.040718,3.379727884
Chile,-36.7226,-71.7622,10821,218,9979,624,2251.518386,2.014601238
Chile,-34.5755,-71.0022,21682,588,20563,531,2370.770484,2.711926944
Chile,-19.9232,-69.5132,15896,287,14924,685,4808.838388,1.805485657
Chile,,,58,1,44,13,,1.724137931
Chile,-33.0472,-71.6127,35982,1258,33726,998,1981.494596,3.496192541
China,31.8257,117.2264,993,6,986,1,1.62714408,0.604229607
China,40.1824,116.4142,988,9,944,35,4.512838409,0.910931174
China,30.0572,107.874,590,6,584,0,1.840634783,1.016949153
China,26.0789,117.9874,513,1,488,24,1.234951704,0.194931774
China,35.7518,104.2861,182,2,180,0,0.727422979,1.098901099
China,23.3417,113.4244,2046,8,2011,27,1.623648319,0.391006843
China,23.8298,108.7881,264,2,261,1,0.526664337,0.757575758
China,26.8154,106.8748,147,2,145,0,0.381202831,1.360544218
China,19.1959,109.7453,171,6,165,0,1.696221255,3.50877193
China,37.8957,114.9042,373,6,367,0,0.49993141,1.608579088
China,47.862,127.7615,964,13,942,9,3.026679236,1.348547718
China,33.882,113.614,1299,22,1270,7,1.307294535,1.69361047
China,22.3,114.2,8888,149,7912,828,118.5542781,1.665166517
China,30.9756,112.2707,68149,4512,63637,0,118.0017016,6.620786805
China,27.6104,111.7088,1021,4,1016,1,1.536612371,0.391772772
China,44.0935,113.9448,364,1,340,23,1.513566693,0.274725275
China,32.9711,119.455,684,0,682,2,0.80709854,0
China,27.614,115.7221,,1,934,0,2.069104322,0.106951872
China,43.6661,126.1923,157,2,155,0,0.652170671,1.27388535
China,41.2956,122.6085,359,2,287,70,0.842893028,0.557103064
China,22.1667,113.55,46,0,46,0,7.08409436,0
China,37.2692,106.1655,75,0,75,0,1.041282838,0
China,35.7452,95.9956,18,0,18,0,0.303850956,0
China,35.1917,108.8701,508,3,490,15,1.285132467,0.590551181
China,36.3427,118.1498,863,7,847,9,0.850016399,0.811123986
China,31.202,121.4491,1520,7,1420,93,6.111561325,0.460526316
China,37.5777,112.2922,224,0,221,3,0.641546751,0
China,30.6171,102.7103,853,3,822,28,1.019422009,0.351699883
China,39.3054,117.323,312,3,300,9,2.250106718,0.961538462
China,31.6927,88.0924,1,0,1,0,0.027411529,0
China,41.1129,85.2401,980,3,977,0,3.790758633,0.306122449
China,24.974,101.487,230,2,215,13,0.48719238,0.869565217
China,29.1832,120.0934,1306,1,1293,12,2.022686677,0.076569678
Colombia,-1.4429,-71.5724,3249,125,3102,22,4242.123543,3.847337642
Colombia,7.1986,-75.3412,263708,4817,245839,13052,4115.87017,1.826641588
Colombia,7.0762,-70.7105,4600,134,4300,166,1754.559949,2.913043478
Colombia,10.6966,-74.8741,94549,3443,87898,3208,3728.983083,3.641498059
Colombia,8.6704,-74.03,52000,1107,49335,1558,2511.94381,2.128846154
Colombia,5.4545,-73.362,28803,620,26406,1777,2365.990458,2.152553553
Colombia,5.2983,-75.2479,32668,644,30213,1811,3272.510531,1.971348108
Colombia,4.711,-74.0721,475253,9868,430079,35306,6411.450502,2.076367745
Colombia,0.8699,-73.8419,15042,533,13707,802,3746.553455,3.54341178
Colombia,5.7589,-71.5724,8825,182,8169,474,2098.67207,2.062322946
Colombia,2.705,-76.826,18844,505,16984,1355,1286.72956,2.679898111
Colombia,9.3373,-73.6536,33637,996,30947,1694,2801.743166,2.961025062
Colombia,5.2528,-76.826,4888,169,4613,106,913.9421045,3.457446809
Colombia,8.0493,-75.574,29590,1679,27564,347,1657.90463,5.674214262
Colombia,5.026,-74.03,67608,1726,62249,3633,2316.088056,2.552952313
Colombia,2.5854,-68.5247,1235,20,1204,11,2566.820468,1.619433198
Colombia,1.0654,-73.2603,1964,37,1907,20,2372.926408,1.883910387
Colombia,2.5359,-75.5277,,1130,32925,1054,3190.607659,3.218547951
Colombia,11.3548,-72.5205,14217,545,13119,553,1614.540747,3.833438841
Colombia,10.4113,-74.4057,24836,1075,22950,811,1851.020983,4.328394266
Colombia,3.272,-73.0877,34072,745,32218,1109,3277.029821,2.186546138
Colombia,1.2892,-77.3579,31603,987,28571,2045,1938.130446,3.123121223
Colombia,7.9463,-72.8988,40621,2022,36640,1959,2723.154759,4.977720883
Colombia,0.436,-75.5277,5929,245,5349,335,1702.845064,4.132231405
Colombia,4.461,-75.6674,23916,659,21856,1401,4429.676387,2.755477505
Colombia,5.3158,-75.9928,34605,760,31061,2784,3668.111439,2.19621442
Colombia,12.5567,-81.7185,2471,39,2391,41,4032.310705,1.578308377
Colombia,6.6437,-73.6536,67850,2405,61143,4302,3105.494826,3.54458364
Colombia,8.814,-74.7233,17477,679,16392,406,1931.452607,3.885106139
Colombia,4.0925,-75.1545,44552,1276,41274,2002,3349.303519,2.864068953
Colombia,,,0,0,0,0,,
Colombia,3.8009,-76.6413,138870,4297,127897,6676,3102.625938,3.094260819
Colombia,0.8554,-70.812,1139,12,1120,7,2791.871951,1.053555751
Colombia,4.4234,-69.2878,1150,14,1126,10,1066.71119,1.217391304
Comoros,-11.6455,43.3333,823,10,705,108,94.64175852,1.215066829
Congo (Brazzaville),-0.228,15.8277,7107,108,5846,1153,128.7945181,1.519628535
Congo (Kinshasa),-4.0383,21.7587,17849,591,14701,2557,19.92934367,3.311109866
Costa Rica,9.7489,-83.7534,169321,2185,131923,35213,3323.855728,1.29044832
Cote d'Ivoire,7.54,-5.5471,22563,138,21981,444,85.53629834,0.611620795
Croatia,45.1,15.2,212007,3961,199820,8226,5164.266986,1.868334536
Cuba,21.521757,-77.781167,12056,146,10345,1565,106.4395579,1.211015262
Cyprus,35.1264,33.4299,23108,126,2057,20925,1913.926324,0.545265709
Czechia,49.8175,15.473,732022,11711,600073,120238,6835.589041,1.599815306
Denmark,61.8926,-6.9118,610,0,551,59,1248.337256,0
Denmark,71.7069,-42.6043,27,0,21,6,47.55865568,0
Denmark,56.2639,9.5018,165930,1322,130818,33790,2842.623697,0.796721509
Diamond Princess,,,712,13,699,0,,1.825842697
Djibouti,11.8251,42.5903,,61,5735,44,591.0919209,1.044520548
Dominica,15.415,-61.371,88,0,83,5,122.2375019,0
Dominican Republic,18.7357,-70.1627,172218,2416,131543,38259,1587.569359,1.402873103
Ecuador,-1.8312,-78.1834,213378,14051,184507,14820,1209.416054,6.58502751
Egypt,26.820553,30.802498,139471,7687,112826,18958,136.2894549,5.511540033
El Salvador,13.7942,-88.8965,46515,1327,45960,0,717.137813,2.852843169
Equatorial Guinea,1.6508,10.2679,5277,86,5136,55,376.1266158,1.629713853
Eritrea,15.1794,39.7823,1320,3,643,674,37.2205603,0.227272727
Estonia,58.5953,25.0136,28406,,19027,9145,2141.361845,0.823769626
Eswatini,-26.5225,31.4659,9482,216,7073,2193,817.298244,2.278000422
Ethiopia,9.145,40.4897,124652,1937,112251,10464,108.4273791,1.55392613
Fiji,-17.7134,178.065,49,2,44,3,5.466041381,4.081632653
Finland,61.92411,25.748151,36676,598,29000,6842,657.0087126,1.541081779
France,4,-53,13166,71,9995,3100,4408.032623,0.539267811
France,-17.6797,-149.4068,16926,114,4842,11970,6025.546094,0.673520028
France,16.265,-61.551,8620,155,2242,6223,2154.316005,1.798143852
France,14.6415,-61.0242,6091,43,98,5950,1623.119662,0.705959613
France,-12.8275,45.166244,5890,55,2964,2871,2158.988025,0.933786078
France,-20.904305,165.618042,38,0,38,0,13.31040208,0
France,-21.1151,55.5364,9037,42,8706,289,1009.373311,0.464756003
France,17.9,-62.8333,190,0,172,18,1922.104198,0
France,46.8852,-56.3159,16,0,14,2,276.1000863,0
France,18.0708,-63.0501,995,12,855,128,2573.786182,1.206030151
France,46.2276,2.2137,2636045,64399,170896,2400750,4039.925429,2.443015958
Gabon,-0.8037,11.6094,9571,64,9388,119,430.0166058,0.668686658
Gambia,13.4432,-15.3101,3800,124,3669,7,157.2415528,3.263157895
Georgia,42.3154,43.3569,228410,2528,214992,10890,5725.745298,1.106781665
Germany,48.6616,9.3501,237993,4789,190409,47441,2186.283526,2.016115743
Germany,48.7904,11.4979,324937,,264172,59871,2517.894918,2.059204004
Germany,52.52,13.405,96788,1247,78947,17428,2665.110663,1.307704911
Germany,52.4125,12.5316,41241,937,32460,13048,1842.421647,2.412454699
Germany,53.0793,8.8017,13559,194,12067,1440,2015.497037,1.466297053
Germany,53.5511,9.9937,36417,632,27236,9403,2013.357244,1.764216961
Germany,50.6521,9.1624,136577,2845,109223,27227,2214.597005,2.093737443
Germany,53.6127,12.4296,11997,171,9469,2723,767.6433814,1.399110392
Germany,52.6367,9.8451,106789,1967,92555,15238,1372.038282,1.836809034
Germany,51.4332,7.6616,393185,6552,326307,65670,2224.074325,1.680805061
Germany,50.1183,7.309,71993,1428,54190,17902,1794.631113,1.983657598
Germany,49.3964,7.023,19879,432,18075,1932,2080.913342,2.290486423
Germany,51.1045,13.2017,132356,3139,100200,33592,3379.245594,2.408566385
Germany,51.9503,11.6923,29200,602,23248,7120,1423.773458,2.190157176
Germany,54.2194,9.6961,24792,425,19000,5811,867.3337055,1.726937854
Germany,51.011,10.8453,42034,995,31186,11662,2069.344135,2.340740741
Germany,,,2102,0,0,2102,,0
Ghana,7.9465,-1.0232,54930,335,53758,837,176.7775793,0.609867104
Greece,39.0742,21.8243,139447,4881,93764,40802,1337.870582,3.500254577
Grenada,12.1165,-61.679,127,0,107,20,112.8698264,0
Guatemala,15.7835,-90.2308,138236,4820,126606,6810,771.5971256,3.486790706
Guinea,9.9456,-9.6966,13738,81,13153,504,104.6083727,0.589605474
Guinea-Bissau,11.8037,-15.1804,2452,45,2397,10,124.5936226,1.835236542
Guyana,4.860416,-58.93018,6348,164,5868,316,807.0596103,2.583490863
Haiti,18.9712,-72.2852,10015,236,8624,1155,87.83136168,2.356465302
Holy See,41.9029,12.4534,27,0,15,12,3337.453646,0
Honduras,15.2,-86.2419,122974,3160,56936,62878,1241.583715,2.569648869
Hungary,47.1625,19.5033,325278,9667,157063,158548,3367.145083,2.971919404
Iceland,64.9631,-19.0208,5754,29,5578,147,1686.153846,0.503997219
India,11.225999,92.968178,4946,62,4826,58,1185.98874,1.253538213
India,15.9129,79.74,882612,7108,871916,3588,1637.395998,0.805336886
India,27.768456,96.384277,16719,56,16564,99,1064.593896,0.334948262
India,26.357149,92.830441,216251,1049,211910,3292,607.3265457,0.485084462
India,25.679658,85.60484,252219,,245476,5343,202.0986775,0.555073171
India,30.733839,76.768278,19799,318,19045,436,1709.060116,1.606141724
India,21.264705,82.035366,280507,3375,264769,12363,952.9311005,1.20317853
India,20.194742,73.080901,3378,2,3365,11,548.6224347,0.059206631
India,28.646519,77.10898,625954,10557,609322,6075,3345.393669,1.686545657
India,15.359682,74.057396,51135,739,49388,1008,3223.640662,1.445194094
India,22.694884,71.590923,245772,4309,230893,10570,384.7859229,1.753250981
India,29.20004,76.332824,,2911,255853,3847,931.0897634,1.108483651
India,31.927213,77.233081,55470,936,51728,2806,744.3684241,1.687398594
India,33.75943,76.612638,121227,1884,116079,3264,890.9609652,1.554109233
India,23.654536,85.557631,115241,1030,112424,1787,298.59863,0.893779124
India,14.70518,76.166436,920373,12096,896116,12161,1362.250459,1.314249766
India,10.450898,76.405749,765924,3095,692480,70349,2145.478852,0.40408709
India,34.1526,77.5771,9525,127,9144,254,3472.614651,1.333333333
India,13.6999972,72.1833326,0,0,0,0,0,
India,23.541513,78.289633,242571,3618,228831,10122,284.1775319,1.49152207
India,19.449759,76.108221,1935636,49580,1828546,57510,1571.844747,2.561432005
India,24.738975,93.882541,28206,356,26678,1172,912.3593543,1.262142806
India,25.536934,91.278882,13445,139,13139,167,399.3512955,1.033841577
India,23.309381,92.83822,4219,8,4098,113,340.4494999,0.189618393
India,26.06702,94.470302,11929,79,11646,204,530.2496561,0.662251656
India,20.505428,84.418059,329866,1876,325432,2558,711.5877627,0.568715782
India,11.882658,78.86498,38164,633,37115,416,2699.884404,1.658631171
India,30.841465,75.40879,166770,5349,157496,3925,553.2926453,3.207411405
India,26.583423,73.847973,308852,2700,295987,10165,381.1449476,0.874205121
India,27.571671,88.472712,5900,128,5233,539,854.7615288,2.169491525
India,11.006091,78.400624,818935,12135,797391,9409,1052.057644,1.481802585
India,18.1124,79.0193,287108,1546,279456,6106,729.3904295,0.538473327
India,23.746783,91.743565,33276,385,32779,112,798.0250343,1.156990023
India,,,0,0,46107,0,,
India,26.925425,80.560982,586751,8379,563278,15094,246.6555737,1.428033357
India,30.156447,79.197608,91281,1515,84692,5074,811.3247896,1.659710126
India,23.814082,87.979803,553216,9738,530366,13112,555.385876,1.760252776
Indonesia,-0.7893,113.9213,751270,22329,617936,111005,274.6636642,2.97216713
Iran,32.427908,53.688046,1231429,55337,995570,180522,1466.109901,4.493722334
Iraq,33.223191,43.679291,596193,12824,539817,43552,1482.237443,2.15098131
Ireland,53.1424,-7.6921,93532,,23364,67920,1894.205431,2.403455502
Israel,31.046051,34.851612,428510,3356,379910,45244,4950.701522,0.783178922
Italy,42.35122196,13.39843823,35723,1218,23132,11373,2723.661538,3.409568065
Italy,40.63947052,15.80514834,10982,256,4585,6141,1951.07565,2.331087234
Italy,38.90597598,16.59440194,24265,479,14923,8863,1246.192475,1.974036678
Italy,40.83956555,14.25084984,191407,2864,110215,78328,3299.158246,1.496288015
Italy,44.49436681,11.3417208,174141,7808,109546,56787,3904.96464,4.48372296
